Run_Number,Indentor X Position,Indentor Y Position,Stiffener Rib Angle,Stiffener Rib Height,Stiffener Rib Position,Stiffener Rib Width
49,-80.9325984,-306.7528611,115,16.25,350,18.75
50,-499.2919734,-289.9559861,115,16.25,350,18.75
51,-509.9999812,6.86E-05,101.5625,11.328125,353.125,37.890625
52,-254.9999812,-214.9999314,101.5625,11.328125,353.125,37.890625
53,-382.4999812,-107.4999314,101.5625,11.328125,353.125,37.890625
54,-31.87498121,-403.1249314,101.5625,11.328125,353.125,37.890625
55,-95.62498121,-134.3749314,101.5625,11.328125,353.125,37.890625
56,-47.81248121,-255.3124314,101.5625,11.328125,353.125,37.890625
57,-111.5624812,-94.06243143,101.5625,11.328125,353.125,37.890625
58,-390.4687312,-396.4061814,101.5625,11.328125,353.125,37.890625
59,-7.968731212,-288.9061814,101.5625,11.328125,353.125,37.890625
60,-71.71873121,-20.15618143,101.5625,11.328125,353.125,37.890625
61,-406.4062312,-167.9686814,101.5625,11.328125,353.125,37.890625
62,-438.2812312,-248.5936814,101.5625,11.328125,353.125,37.890625
63,-183.2812312,-33.59368143,101.5625,11.328125,353.125,37.890625
64,-115.5468562,-366.1718064,101.5625,11.328125,353.125,37.890625
65,-51.79685621,-204.9218064,101.5625,11.328125,353.125,37.890625
66,-83.67185621,-70.54680643,101.5625,11.328125,353.125,37.890625
67,-450.2343562,-379.6093064,101.5625,11.328125,353.125,37.890625
68,-3.984356212,-3.359306429,101.5625,11.328125,353.125,37.890625
69,-418.3593562,-298.9843064,101.5625,11.328125,353.125,37.890625
70,-163.3593562,-83.98430643,101.5625,11.328125,353.125,37.890625
71,-290.8593562,-191.4843064,101.5625,11.328125,353.125,37.890625
72,-354.6093562,-352.7343064,101.5625,11.328125,353.125,37.890625
73,-235.0781062,-157.8905564,101.5625,11.328125,353.125,37.890625
74,-171.3281062,-426.6405564,101.5625,11.328125,353.125,37.890625
75,-139.4531062,-23.51555643,101.5625,11.328125,353.125,37.890625
76,-11.95310621,-346.0155564,101.5625,11.328125,353.125,37.890625
77,-410.3906062,-10.07805643,101.5625,11.328125,353.125,37.890625
78,-314.7656062,-90.70305643,101.5625,11.328125,353.125,37.890625
79,-506.0156062,-144.4530564,101.5625,11.328125,353.125,37.890625
80,-249.0234187,-72.22649393,101.5625,11.328125,353.125,37.890625
81,-376.5234187,-179.7264939,101.5625,11.328125,353.125,37.890625
82,-344.6484187,-260.3514939,101.5625,11.328125,353.125,37.890625
83,-217.1484187,-367.8514939,101.5625,11.328125,353.125,37.890625
84,-472.1484187,-152.8514939,101.5625,11.328125,353.125,37.890625
85,-264.9609187,-300.6639939,101.5625,11.328125,353.125,37.890625
86,-9.960918712,-85.66399393,101.5625,11.328125,353.125,37.890625
87,-488.0859187,-58.78899393,101.5625,11.328125,353.125,37.890625
88,-161.3671687,-347.6952439,101.5625,11.328125,353.125,37.890625
89,-1.992168712,-428.3202439,101.5625,11.328125,353.125,37.890625
90,-320.7421687,-374.5702439,101.5625,11.328125,353.125,37.890625
91,-193.2421687,-267.0702439,101.5625,11.328125,353.125,37.890625
92,-448.2421687,-52.07024393,101.5625,11.328125,353.125,37.890625
93,-336.6796687,-146.1327439,101.5625,11.328125,353.125,37.890625
94,-272.9296687,-414.8827439,101.5625,11.328125,353.125,37.890625
95,-177.3046687,-119.2577439,101.5625,11.328125,353.125,37.890625
96,-304.8046687,-11.75774393,101.5625,11.328125,353.125,37.890625
97,-500.0390437,-344.3358689,101.5625,11.328125,353.125,37.890625
98,-117.5390437,-236.8358689,101.5625,11.328125,353.125,37.890625
99,-80.9325984,-306.7528611,101.5625,11.328125,353.125,37.890625
100,-499.2919734,-289.9559861,101.5625,11.328125,353.125,37.890625
101,-509.9999812,6.86E-05,102.8125,17.890625,415.625,40.078125
102,-254.9999812,-214.9999314,102.8125,17.890625,415.625,40.078125
103,-382.4999812,-107.4999314,102.8125,17.890625,415.625,40.078125
104,-31.87498121,-403.1249314,102.8125,17.890625,415.625,40.078125
105,-95.62498121,-134.3749314,102.8125,17.890625,415.625,40.078125
106,-47.81248121,-255.3124314,102.8125,17.890625,415.625,40.078125
107,-111.5624812,-94.06243143,102.8125,17.890625,415.625,40.078125
108,-390.4687312,-396.4061814,102.8125,17.890625,415.625,40.078125
109,-7.968731212,-288.9061814,102.8125,17.890625,415.625,40.078125
110,-71.71873121,-20.15618143,102.8125,17.890625,415.625,40.078125
111,-406.4062312,-167.9686814,102.8125,17.890625,415.625,40.078125
112,-438.2812312,-248.5936814,102.8125,17.890625,415.625,40.078125
113,-183.2812312,-33.59368143,102.8125,17.890625,415.625,40.078125
114,-115.5468562,-366.1718064,102.8125,17.890625,415.625,40.078125
115,-51.79685621,-204.9218064,102.8125,17.890625,415.625,40.078125
116,-83.67185621,-70.54680643,102.8125,17.890625,415.625,40.078125
117,-450.2343562,-379.6093064,102.8125,17.890625,415.625,40.078125
118,-3.984356212,-3.359306429,102.8125,17.890625,415.625,40.078125
119,-418.3593562,-298.9843064,102.8125,17.890625,415.625,40.078125
120,-163.3593562,-83.98430643,102.8125,17.890625,415.625,40.078125
121,-290.8593562,-191.4843064,102.8125,17.890625,415.625,40.078125
122,-354.6093562,-352.7343064,102.8125,17.890625,415.625,40.078125
123,-235.0781062,-157.8905564,102.8125,17.890625,415.625,40.078125
124,-171.3281062,-426.6405564,102.8125,17.890625,415.625,40.078125
125,-139.4531062,-23.51555643,102.8125,17.890625,415.625,40.078125
126,-11.95310621,-346.0155564,102.8125,17.890625,415.625,40.078125
127,-410.3906062,-10.07805643,102.8125,17.890625,415.625,40.078125
128,-314.7656062,-90.70305643,102.8125,17.890625,415.625,40.078125
129,-506.0156062,-144.4530564,102.8125,17.890625,415.625,40.078125
130,-249.0234187,-72.22649393,102.8125,17.890625,415.625,40.078125
131,-376.5234187,-179.7264939,102.8125,17.890625,415.625,40.078125
132,-344.6484187,-260.3514939,102.8125,17.890625,415.625,40.078125
133,-217.1484187,-367.8514939,102.8125,17.890625,415.625,40.078125
134,-472.1484187,-152.8514939,102.8125,17.890625,415.625,40.078125
135,-264.9609187,-300.6639939,102.8125,17.890625,415.625,40.078125
136,-9.960918712,-85.66399393,102.8125,17.890625,415.625,40.078125
137,-488.0859187,-58.78899393,102.8125,17.890625,415.625,40.078125
138,-161.3671687,-347.6952439,102.8125,17.890625,415.625,40.078125
139,-1.992168712,-428.3202439,102.8125,17.890625,415.625,40.078125
140,-320.7421687,-374.5702439,102.8125,17.890625,415.625,40.078125
141,-193.2421687,-267.0702439,102.8125,17.890625,415.625,40.078125
142,-448.2421687,-52.07024393,102.8125,17.890625,415.625,40.078125
143,-336.6796687,-146.1327439,102.8125,17.890625,415.625,40.078125
144,-272.9296687,-414.8827439,102.8125,17.890625,415.625,40.078125
145,-177.3046687,-119.2577439,102.8125,17.890625,415.625,40.078125
146,-304.8046687,-11.75774393,102.8125,17.890625,415.625,40.078125
147,-500.0390437,-344.3358689,102.8125,17.890625,415.625,40.078125
148,-117.5390437,-236.8358689,102.8125,17.890625,415.625,40.078125
149,-80.9325984,-306.7528611,102.8125,17.890625,415.625,40.078125
150,-499.2919734,-289.9559861,102.8125,17.890625,415.625,40.078125
151,-509.9999812,6.86E-05,118.4375,8.984375,409.375,34.609375
152,-254.9999812,-214.9999314,118.4375,8.984375,409.375,34.609375
153,-382.4999812,-107.4999314,118.4375,8.984375,409.375,34.609375
