Job ID,HIC Value
524,840.3928109
525,795.2671064
526,867.6039697
527,1306.611224
528,789.9112866
529,1349.951475
530,794.9794849
531,1213.330277
532,864.799317
533,746.4182712
534,1304.221389
535,846.0822088
536,859.4722919
537,1296.687835
538,792.9235016
539,911.0043717
540,840.1992595
541,795.0594201
542,1379.033583
543,814.2624358
544,715.22573
545,753.4019058
546,835.0858325
547,1451.200655
548,841.7630125
549,916.55196
550,1549.255154
551,1445.659337
552,858.4209147
553,1509.750638
554,959.9673479
555,988.6378556
556,942.0255507
557,911.8402488
558,1254.179822
559,869.4218726
560,841.3059703
561,1395.697205
562,1302.71988
563,972.0466303
564,929.4327015
565,953.6868991
566,887.4249396
567,1496.739682
568,1009.452953
569,1367.115154
570,955.2492104
571,954.1536894
572,1159.262232
573,906.2517454
574,858.8174932
575,918.4153483
576,932.4874482
577,1406.59585
578,1055.481605
579,1420.657999
580,1029.055771
581,1405.365034
582,1086.9491
583,840.4226916
584,1419.878686
585,910.5722069
586,1013.704582
587,1506.870335
588,868.5015246
589,967.9455713
590,883.5343336
591,958.7940615
592,1520.326226
593,1031.735605
594,743.0652982
595,972.3836538
596,1009.87216
597,1533.221546
598,978.6550097
599,953.9664362
600,1668.789835
601,1366.697056
602,797.4149458
603,1411.322274
604,930.572879
605,895.111017
606,909.4765526
607,850.8110386
608,1190.392484
609,886.7093918
610,790.8612039
611,1403.274903
612,1216.827142
613,894.4030455
614,853.1930954
615,896.8199703
616,835.1679771
617,1427.053371
618,955.1540165
619,1264.36496
620,846.1414978
621,851.5136708
622,1088.515168
623,828.7697213
624,857.9404849
625,824.3878299
626,920.1638293
627,1302.453423
628,944.0591052
629,1338.651817
630,911.3540602
631,1254.814987
632,944.9534888
633,813.0124031
634,1354.076911
635,873.4356484
636,925.3643707
637,1390.224793
638,836.4094221
639,933.4295969
640,884.0461607
641,863.6674169
642,1414.215936
643,897.3258709
644,750.3036303
645,846.8787359
646,899.1923567
647,1477.61508
648,919.7199854
649,934.1455268
650,1667.395149
651,1371.020214
652,726.6366767
653,1291.039135
654,945.4065105
655,934.7285512
656,872.304629
657,869.9297201
658,1151.068369
659,796.1975056
660,822.1660462
661,1303.530308
662,1218.463475
663,864.1011196
664,889.805053
665,898.4581559
666,816.0573133
667,1477.340974
668,1020.592415
669,1335.050677
670,878.9659211
671,855.0944585
672,1083.86479
673,818.1328904
674,864.8507933
675,831.8476339
676,909.5019622
677,1340.080182
678,859.1755477
679,1351.952318
680,902.3001693
681,1276.861471
682,935.3737977
683,800.0994952
684,1312.265624
685,829.6194055
686,960.0565753
687,1410.316422
688,842.4127747
689,945.9074371
690,791.8956417
691,875.2057073
692,1429.378879
693,898.1775462
694,750.0488249
695,913.4497918
696,938.6070189
697,1472.263163
698,886.6335918
699,955.963264
700,1654.874074
701,1501.02272
702,937.9257771
703,1586.640334
704,988.8046863
705,978.4656192
706,953.8382
707,961.2014865
708,1217.369516
709,895.6206474
710,886.0625757
711,1378.768481
712,1313.177184
713,1013.022148
714,979.4079
715,1022.468387
716,916.8711698
717,1485.353989
718,1088.121496
719,1331.084071
720,994.8846464
721,969.4472885
722,1046.82333
723,929.3844154
724,876.4441496
725,1004.890413
726,954.0931413
727,1483.614072
728,1081.972061
729,1485.930503
730,1111.681595
731,1377.454696
732,1012.256176
733,807.7182658
734,1449.503757
735,895.3056562
736,994.1838496
737,1519.231793
738,895.732254
739,982.814258
740,794.345429
741,955.8152583
742,1521.006129
743,1136.209935
744,776.0189362
745,981.0022293
746,1157.5808
747,1515.029327
748,988.3383582
749,1010.70692
750,1718.290656
751,1225.491511
752,688.3725117
753,1129.166376
754,897.3765905
755,786.1304411
756,777.4342116
757,742.2497187
758,1059.198895
759,813.45545
760,713.1242054
761,1196.729095
762,984.232594
763,719.3722497
764,746.9730741
765,787.8415999
766,664.2232557
767,1302.078854
768,911.3866855
769,1147.89068
770,732.5413636
771,717.0807735
772,941.6061626
773,694.258683
774,761.2280415
775,729.268084
776,848.3032698
777,1182.47234
778,752.418837
779,1288.596264
780,689.3266638
781,1141.692534
782,798.6560575
783,703.3008883
784,1174.600562
785,805.9129149
786,876.478459
787,1199.936256
788,708.2237279
789,868.1230207
790,750.2632436
791,741.2983281
792,1221.860738
793,734.0518252
794,677.5123582
795,734.2144816
796,738.1577266
797,1359.948275
798,768.2668365
799,849.965854
800,1458.185405
801,1354.920832
802,794.2455249
803,1284.078264
804,934.1229922
805,905.0282326
806,863.7947928
807,854.1966772
808,989.4107559
809,805.2393189
810,786.8164902
811,1264.464802
812,1138.689596
813,856.4252085
814,853.8706021
815,872.9389065
816,791.058907
817,1217.828624
818,985.4331883
819,1195.205498
820,860.9450663
821,802.7442853
822,977.044756
823,794.4433426
824,820.4493783
825,809.2081846
826,892.9820285
827,1342.203398
828,899.0150038
829,1312.799751
830,915.886025
831,1230.939692
832,888.1138398
833,768.5516159
834,1289.061585
835,841.7123879
836,953.5974857
837,1365.037407
838,808.7984306
839,933.1800289
840,736.5070349
841,813.5090742
842,1400.886899
843,854.8696656
844,696.1686602
845,878.0198792
846,899.1831902
