run,design,loc,base_run,X1,X2,X3,dz_mm,center_gap_mm,sphere_pen_mm,lift_mm,surf_z_mm
90,1,40,6,-2.7459,-144.6568,627.7982,14.1332,2.0056,0.9576,0.0000,543.2926
91,1,41,6,357.7543,-444.6568,675.6092,61.9442,2.0056,-0.7091,0.0000,591.1036
92,1,42,6,283.5723,855.3432,665.5166,51.8516,2.0056,-0.9840,0.0000,581.0110
93,1,43,6,-193.0211,455.3432,567.9550,-45.7100,2.0056,1.6501,1.5423,481.9070
94,1,44,6,468.9423,255.3432,715.9602,102.2952,2.0056,-1.7589,0.0000,631.4546
95,1,45,6,-217.2723,155.3432,575.3034,-38.3616,2.0056,1.6502,1.5384,489.2593
96,1,46,6,468.9599,55.3432,715.9621,102.2971,2.0056,-1.7614,0.0000,631.4564
97,1,47,6,457.9314,-344.6568,701.9258,88.2608,2.0056,-0.9385,0.0000,617.4202
98,1,48,6,458.2863,655.3432,701.9652,88.3002,2.0056,-1.1187,0.0000,617.4596
99,1,49,6,260.9358,655.3432,669.8476,56.1826,2.0056,1.1726,0.0000,585.3420
100,1,50,6,-125.5168,-344.6568,566.6832,-46.9818,2.0056,1.6501,0.6332,481.5444
101,2,1,11,780.1084,855.3432,722.5654,108.9004,2.0056,-1.8514,0.0000,638.0598
102,2,2,11,779.9595,-544.6568,722.5528,108.8878,2.0056,-1.8503,0.0000,638.0471
103,2,3,11,160.1135,755.3432,645.6073,31.9423,2.0056,-0.3051,0.0000,561.1017
104,2,4,11,-265.2894,555.3432,533.9590,-79.7060,2.0056,1.6501,2.7664,446.6869
105,2,5,11,283.4247,-544.6568,665.4919,51.8269,2.0056,-0.7811,0.0000,580.9863
106,2,6,11,-265.2296,-244.6568,533.9465,-79.7185,2.0056,1.6509,2.7339,446.7070
107,2,7,11,510.8000,555.3432,713.9460,100.2810,2.0056,-1.5164,0.0000,629.4404
108,2,8,11,510.8630,-244.6568,713.9525,100.2875,2.0056,-1.5389,0.0000,629.4469
109,2,9,11,94.3893,455.3432,651.5279,37.8629,2.0056,-0.0261,0.0000,567.0223
110,2,10,11,-33.5021,-444.6568,595.7718,-17.8932,2.0056,1.5817,0.0000,511.2662
111,2,11,11,481.4907,855.3432,694.1675,80.5025,2.0056,-1.5248,0.0000,609.6619
112,2,12,11,-128.1311,755.3432,565.0968,-48.5682,2.0056,1.6502,1.6090,478.9822
113,2,13,11,-306.7720,255.3432,537.0431,-76.6219,2.0056,1.6502,2.5408,449.9967
114,2,14,11,576.5633,355.3432,725.3049,111.6399,2.0056,-1.7397,0.0000,640.7993
115,2,15,11,576.5583,-44.6568,725.3044,111.6394,2.0056,-1.7381,0.0000,640.7988
116,2,16,11,278.6628,355.3432,690.2729,76.6079,2.0056,-1.0443,0.0000,605.7672
117,2,17,11,-205.2068,-44.6568,569.9969,-43.6681,2.0056,1.6508,1.5666,483.9247
118,2,18,11,556.6869,-444.6568,696.0199,82.3549,2.0056,0.8049,0.0000,611.5143
119,2,19,11,260.5862,-344.6568,669.7750,56.1100,2.0056,1.1642,0.0000,585.2694
120,2,20,11,-110.8354,355.3432,601.9975,-11.6675,2.0056,1.6508,0.4950,516.9969
121,2,21,11,377.7089,-44.6568,704.0001,90.3351,2.0056,-1.3514,0.0000,619.4945
122,2,22,11,312.7224,555.3432,686.4424,72.7774,2.0056,-1.0792,0.0000,601.9368
123,2,23,11,-77.2524,-244.6568,599.4379,-14.2271,2.0056,1.6501,0.1049,514.8274
