Time,A1,A2,A3,A(mm/s2),A(in g)
0.004104222807738636,149223.13815809268,163937.68831734554,1403602.0634681124,1421000.3037240065,145.00003099224557
0.00412924855656631,161277.45493793915,165271.0748885713,1407357.4818173212,1426176.716712897,145.52823639927522
0.004154274305393985,173843.37142204272,166835.3110152565,1410159.6963273194,1430596.34695939,145.97921907748878
0.00417930005422166,186806.89299781405,168630.99957045572,1412127.6635713081,1434377.1357323932,146.3650138502442
0.004204325803049334,200038.7525473842,170648.12528664616,1413406.322143138,1437655.6321540182,146.69955430143045
0.004229351551877009,213447.11050601385,172861.8178780519,1414013.0515876357,1440442.2192941252,146.98389992797195
0.0042543773007046835,226993.65348041954,175225.31641174012,1413786.4121494798,1442574.7985497543,147.20151005609736
0.004279403049532358,240693.6857853081,177668.63650527122,1412422.826636873,1443758.23321594,147.32226869550408
0.0043044287983600325,254578.9635276844,180102.85746636637,1409618.4629485265,1443700.6957889905,147.31639752948882
0.004329454547187707,268641.0978592236,182435.5980619446,1405231.5695999428,1442264.3832199005,147.16983502243883
0.0043544802960153815,282789.7858467315,184586.20434557393,1399388.3341019456,1439558.9044677126,146.8937657620115
0.004379506044843056,296871.14256198495,186494.74407177113,1392408.982474223,1435867.521510392,146.51709403167266
0.00440453179367073,310705.811851548,188122.50028647194,1384691.301977175,1431536.9986125012,146.07520394005115
0.004429557542498405,324120.4301521047,189448.78039939416,1376650.7853655228,1426924.0619174854,145.6044961140291
0.00445458329132608,336972.4572505804,190466.7907609882,1368669.5240285858,1422351.679906945,145.1379265211168
0.004479609040153754,349159.4362412659,191171.09081405474,1361045.5621844498,1418063.3696060572,144.70034383735276
0.004504634788981429,360617.2421714462,191549.84801527555,1353983.0007305995,1414215.721130409,144.30772664596012
0.004529660537809104,371307.73471688124,191588.04819210418,1347638.1807455295,1410923.1305336393,143.9717480136367
0.004554686286636778,381208.8648983622,191281.5826253781,1342151.7067225513,1408289.7593835562,143.70303667179144
0.004579712035464453,390306.9073025897,190646.51260375645,1337651.6714667205,1406413.0150258727,143.51153214549723
0.004604737784292128,398600.39052633673,189715.5515318932,1334227.700703571,1405360.3876384231,143.4041211875942
0.004629763533119802,406103.61741413124,188532.3984710562,1331909.3817604952,1405150.2462634859,143.38267819015164
0.004654789281947477,412842.8171370375,187149.5743504563,1330679.0217027839,1405763.427337899,143.44524768754076
0.004679815030775152,418843.97474001435,185621.8821537301,1330488.759013454,1407155.320556947,143.58727760785177
0.004704840779602826,424128.0270788141,183998.19023980372,1331248.203875147,1409241.5327702297,143.80015640512548
0.004729866528430501,428721.6437121325,182310.480050776,1332800.6863040742,1411877.1293331038,144.06909482990855
0.004754892277258175,432668.6841528037,180565.72335089758,1334910.1918925028,1414846.7730160982,144.37211969552024
0.00477991802608585,436026.539935653,178746.83367133795,1337283.8976523506,1417884.973118849,144.68214011416828
0.004804943774913525,438850.83953409217,176818.81824435736,1339625.218875149,1420721.8872430052,144.97162114724543
0.004829969523741199,441173.6412759631,174738.26917839758,1341705.5521744855,1423144.9094203315,145.21886830819707
0.004854995272568874,442984.2900335914,172462.2725928857,1343396.3961699982,1425023.576621441,145.4105690430042
0.004880021021396549,444226.56683517306,169957.07555161923,1344669.579569141,1426309.5486011659,145.54179067358837
0.004905046770224223,444814.8753575487,167201.96284131688,1345561.13361536,1427007.8955678889,145.61305056815192
0.004930072519051898,444655.92090510746,164181.56136775124,1346111.0028866031,1427126.2400998,145.62512654079595
0.0049550982678795725,443676.205910453,160875.8555162201,1346288.1967661174,1426611.904244214,145.5726432902259
0.0049801240167072465,441847.00122871227,157261.78481438392,1345959.936596421,1425330.906274144,145.44192921164736
0.0050051497655349214,439171.7343513388,153316.61000072394,1344945.9409888398,1423115.378083767,145.21585490650685
0.005030175514362596,435678.2429445867,149024.31806367027,1343073.948814488,1419813.8648191108,144.87896579786843
0.00505520126319027,431412.9934157224,144381.01501332896,1340211.2225474515,1415319.4584357727,144.42035290160948
0.005080227012017945,426428.8659119879,139397.46439444437,1336288.0131437718,1409588.1968973367,143.83553029564663
0.005105252760845619,420787.03178320033,134098.210630695,1331300.365724216,1402642.0498438517,143.12673977998486
0.005130278509673294,414561.67772633187,128519.752181456,1325300.1294989595,1394560.556085274,142.30209755972186
0.005155304258500969,407849.3554048584,122710.9484449591,1318376.5900593502,1385465.952952017,141.37407683183847
0.005180330007328643,400765.4733486686,116727.3573631624,1310638.5112683552,1375504.106793062,140.35756191765938
0.005205355756156318,393430.8610107715,110628.96959266784,1302223.8837002125,1364849.315708009,139.27033833755195
